ImageId,0,1,2,3,4,5,6,7,8,9,Label
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,3.3611589802054957e-19,0.0,0.0,3.8239064793384487e-26,3.9804886291944606e-23,1.0,9
4,3.4192692495538615e-16,2.9331704800748063e-38,6.748188406299863e-17,7.07109425372115e-25,1.6113345541862726e-29,6.697274240558861e-27,5.238358414305237e-33,7.609792801788775e-19,1.3863507361719341e-16,1.0,9
5,0.0,0.0,3.965804246121213e-37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.342069493581893e-23,7
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5
12,0.0,0.0,6.704334019918323e-18,2.763690717566734e-38,0.0,0.0,0.0,1.0,0.0,1.2980356138385057e-24,7
13,0.0,2.1893087233343628e-35,0.0,9.170814101225488e-23,1.0,6.27041562954612e-29,0.0,3.221746476753691e-19,6.233983820779339e-18,1.1915584621421949e-12,4
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
16,0.0,0.0,0.0,0.9999995231628418,0.0,4.827409725294274e-07,0.0,1.0810815816074066e-27,3.562810906042867e-29,9.868268904497636e-24,3
17,0.0,0.0,0.0,1.0,0.0,1.2965882055773265e-35,0.0,0.0,0.0,0.0,3
18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,0.0,0.0,0.0,2.074488667896542e-35,8.789405346547384e-20,8.314244853674969e-36,0.0,6.984948855608027e-27,1.3134239163907112e-28,1.0,9
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5287729281641874e-22,9.373399594170201e-32,1.0,9
22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7
26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1934176091009542e-33,4
27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.931734837927903e-36,0.0,2
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.750229335981135e-27,7
29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.925389453125904e-15,0.0,2.053199403314604e-21,4
30,0.0,0.0,4.171111297488343e-34,0.0,0.0,0.0,0.0,1.0,0.0,1.870276793600025e-24,7
31,0.0,0.0,2.177567451948522e-25,7.592802852786958e-26,0.0,0.0,0.0,1.0,0.0,0.0,7
32,0.0,0.0,2.5023956600193326e-36,1.3382863915634927e-14,0.0,1.0,1.0926675494954106e-32,0.0,5.718694478377508e-29,4.964423414841519e-33,5
33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
